date,temp,temp.pres,pres,humd
2016-12-21 21:00,67.14,64.05,957.71,49.38
2016-12-21 21:15,67.93,64.84,957.61,48.68
2016-12-21 21:45,65.12,61.93,957.77,48.31
2016-12-21 22:00,64.16,60.94,957.75,47.75
2016-12-21 22:15,63.85,60.61,957.71,47.72
2016-12-21 22:30,63.67,60.4,957.49,47.76
2016-12-21 22:45,63.5,60.25,957.39,47.68
2016-12-21 23:00,63.28,60.0,957.24,47.78
2016-12-21 23:15,62.99,59.74,957.09,47.92
2016-12-21 23:30,62.74,59.51,956.84,48.1
2016-12-21 23:45,62.41,59.3,956.72,48.06
2016-12-22 00:00,62.23,59.13,956.53,48.13
2016-12-22 00:15,62.03,58.94,956.46,48.35
2016-12-22 00:30,61.94,58.87,956.3,48.24
2016-12-22 00:45,61.82,58.71,956.16,48.37
2016-12-22 01:00,61.69,58.57,956.07,48.38
2016-12-22 01:15,61.54,58.4,955.95,48.53
2016-12-22 01:30,61.39,58.26,956.03,48.56
2016-12-22 01:45,61.23,58.11,956.04,48.68
2016-12-22 02:00,61.18,58.05,956.13,48.68
2016-12-22 02:15,61.1,57.9,956.21,48.74
2016-12-22 02:30,60.88,57.75,956.18,48.67
2016-12-22 02:45,60.79,57.59,956.08,48.79
2016-12-22 03:00,60.7,57.47,955.9,48.59
2016-12-22 03:15,60.56,57.34,955.61,48.62
2016-12-22 03:30,60.47,57.26,955.56,48.56
2016-12-22 03:45,60.45,57.21,955.39,48.5
2016-12-22 04:00,60.79,57.56,955.36,48.41
2016-12-22 04:15,60.23,56.99,955.15,46.19
2016-12-22 04:30,59.94,56.63,955.21,47.96
2016-12-22 04:45,60.04,56.74,955.18,47.83
2016-12-22 05:00,59.93,56.65,955.28,47.71
2016-12-22 05:15,59.87,56.61,955.33,47.68
2016-12-22 05:30,59.81,56.56,955.54,47.57
2016-12-22 05:45,59.75,56.47,955.73,47.89
2016-12-22 06:00,59.69,56.37,955.66,47.78
2016-12-22 06:15,59.6,56.27,955.56,47.89
2016-12-22 06:30,59.56,56.21,955.56,48.01
2016-12-22 06:45,59.65,56.35,955.71,48.36
2016-12-22 07:00,60.12,56.82,955.76,48.21
2016-12-22 07:15,60.68,57.38,955.79,47.66
2016-12-22 07:30,61.02,57.76,956.07,47.27
2016-12-22 07:45,61.1,57.85,956.34,47.02
2016-12-22 08:00,61.2,57.92,956.33,47.1
2016-12-22 08:15,61.32,58.05,956.37,47.02
2016-12-22 08:30,61.42,58.17,956.53,46.83
2016-12-22 08:45,61.52,58.28,956.51,46.8
2016-12-22 09:00,61.66,58.39,956.64,46.79
2016-12-22 09:15,62.01,58.8,956.76,46.59
2016-12-22 09:30,61.64,58.37,956.76,46.16
2016-12-22 09:45,61.23,57.92,956.95,47.05
2016-12-22 10:00,60.88,57.51,957.28,47.2
2016-12-22 10:15,60.55,57.17,957.3,47.23
2016-12-22 10:30,60.2,56.85,957.22,47.36
2016-12-22 10:45,60.04,56.63,957.16,47.57
2016-12-22 11:00,59.89,56.47,957.15,47.9
2016-12-22 11:15,59.9,56.48,956.98,48.14
2016-12-22 11:30,59.79,56.38,956.95,48.71
2016-12-22 11:45,59.7,56.29,956.65,49.11
2016-12-22 12:00,59.64,56.2,956.4,49.66
2016-12-22 12:15,59.59,56.15,956.33,50.3
2016-12-22 12:30,59.48,56.12,956.27,50.56
2016-12-22 12:45,59.51,56.12,955.99,50.88
2016-12-22 13:00,59.48,56.07,955.88,51.57
2016-12-22 13:15,59.51,56.07,955.64,51.89
2016-12-22 13:30,59.57,56.12,955.54,51.64
2016-12-22 13:45,59.52,56.1,955.35,52.09
2016-12-22 14:00,59.42,55.94,955.52,52.3
2016-12-22 14:15,59.34,55.91,955.57,52.99
2016-12-22 14:30,59.4,55.93,955.56,53.09
2016-12-22 14:45,59.52,56.04,955.68,52.58
2016-12-22 15:00,59.69,56.24,955.78,54.38
2016-12-22 15:15,59.94,56.51,955.76,55.02
2016-12-22 15:30,60.21,56.81,955.83,55.34
2016-12-22 15:45,60.3,56.93,955.91,54.3
2016-12-22 16:00,60.06,56.67,955.81,54.15
2016-12-22 16:15,59.94,56.52,955.75,54.3
2016-12-22 16:30,60.38,56.96,955.62,54.16
2016-12-22 16:45,62.01,58.71,955.68,52.2
2016-12-22 17:00,64.98,61.47,955.6,50.33
2016-12-22 17:15,66.26,62.81,955.85,48.66
2016-12-22 17:30,66.7,63.31,956.06,47.83
2016-12-22 17:45,67.01,63.64,956.21,47.05
2016-12-22 18:00,67.05,63.7,956.39,46.45
2016-12-22 18:15,68.23,64.89,956.42,44.74
2016-12-22 18:30,68.61,65.27,956.37,43.91
2016-12-22 18:45,68.87,65.55,956.43,43.29
2016-12-22 19:00,68.63,65.29,956.33,43.26
2016-12-22 19:15,68.07,64.7,956.36,43.83
2016-12-22 19:30,67.5,64.15,956.52,44.34
2016-12-22 19:45,67.11,63.75,956.69,44.69
2016-12-22 20:00,66.72,63.3,956.82,45.11
2016-12-22 20:15,66.28,62.87,956.74,45.34
2016-12-22 20:30,65.9,62.47,956.63,45.61
2016-12-22 20:45,65.7,62.23,956.66,45.91
2016-12-22 21:00,65.68,62.22,956.61,45.82
2016-12-22 21:15,65.56,62.07,956.62,45.75
2016-12-22 21:30,65.17,61.69,956.6,45.77
2016-12-22 21:45,64.88,61.38,956.62,45.73
2016-12-22 22:00,64.66,61.12,956.56,45.92
2016-12-22 22:15,64.29,60.77,956.6,45.66
2016-12-22 22:30,64.04,60.51,956.62,45.29
2016-12-22 22:45,63.64,60.09,956.56,45.4
2016-12-22 23:00,63.13,59.61,956.47,45.19
2016-12-22 23:15,62.87,59.39,956.2,45.37
2016-12-22 23:30,62.52,59.1,956.32,44.7
2016-12-22 23:45,62.09,58.76,956.07,44.55
2016-12-23 00:00,61.8,58.44,955.98,44.93
2016-12-23 00:15,61.58,58.17,955.96,45.18
2016-12-23 00:30,61.33,57.93,955.61,45.74
2016-12-23 00:45,61.43,58.03,955.35,46.17
2016-12-23 01:00,61.21,57.82,955.27,46.61
2016-12-23 01:15,61.08,57.66,955.09,47.08
2016-12-23 01:30,60.89,57.43,955.11,47.07
2016-12-23 01:45,60.6,57.12,955.04,46.71
2016-12-23 02:00,60.35,56.86,954.88,46.75
2016-12-23 02:15,60.09,56.61,954.76,46.9
2016-12-23 02:30,59.86,56.38,954.75,47.36
2016-12-23 02:45,59.75,56.24,954.7,48.38
2016-12-23 03:00,59.56,56.04,954.56,49.82
2016-12-23 03:15,59.37,55.82,954.39,50.88
2016-12-23 03:30,59.05,55.5,954.06,52.42
2016-12-23 03:45,58.99,55.39,954.15,53.93
2016-12-23 04:00,58.8,55.29,954.23,54.58
2016-12-23 04:15,58.85,55.26,954.2,54.84
2016-12-23 04:30,58.58,54.98,954.19,55.23
2016-12-23 04:45,58.47,54.88,954.19,55.58
2016-12-23 05:00,58.52,54.92,953.77,55.94
2016-12-23 05:15,58.52,54.92,953.41,57.23
2016-12-23 05:30,58.54,54.92,953.01,58.67
2016-12-23 05:45,58.6,55.02,953.21,59.31
2016-12-23 06:00,58.55,54.94,952.79,59.42
2016-12-23 06:15,58.58,54.94,951.99,58.65
2016-12-23 06:30,58.69,55.03,952.18,57.99
2016-12-23 06:45,58.62,54.96,952.39,57.3
2016-12-23 07:00,58.49,54.84,952.85,56.36
2016-12-23 07:15,58.4,54.75,952.75,56.58
2016-12-23 07:30,58.41,54.7,952.85,56.75
2016-12-23 07:45,58.44,54.75,952.84,56.97
2016-12-23 08:00,58.52,54.83,952.87,57.16
2016-12-23 08:15,59.03,55.42,952.9,56.56
2016-12-23 08:30,59.47,55.85,952.87,56.49
2016-12-23 08:45,59.74,56.12,952.84,55.99
2016-12-23 09:00,59.57,55.94,952.77,56.0
2016-12-23 09:15,59.9,56.3,952.92,56.67
2016-12-23 09:30,60.35,56.76,952.98,56.42
2016-12-23 09:45,60.59,57.03,953.0,56.34
2016-12-23 10:00,60.9,57.28,953.1,56.29
2016-12-23 10:15,60.79,57.2,952.73,56.12
2016-12-23 10:30,60.35,56.73,952.63,56.8
2016-12-23 10:45,60.29,56.65,952.4,57.15
2016-12-23 11:00,60.14,56.54,952.11,57.27
2016-12-23 11:15,59.94,56.32,951.94,57.28
2016-12-23 11:30,59.84,56.23,952.22,59.53
2016-12-23 11:45,59.61,55.98,951.84,59.54
2016-12-23 12:00,59.45,55.79,951.65,59.81
2016-12-23 12:15,59.64,56.0,951.4,59.88
2016-12-23 12:30,59.39,55.75,951.22,60.61
2016-12-23 12:45,59.65,56.01,951.03,60.73
2016-12-23 13:00,59.59,55.93,950.87,60.67
2016-12-23 13:15,59.41,55.74,950.51,61.43
2016-12-23 13:30,59.1,55.46,950.12,62.0
2016-12-23 13:45,58.89,55.24,950.15,62.72
